Kurze Frage,Lange Frage,Fachwerk,FW,Campusgrüne,CG,Arbeitsgemeinschaft der Jungsozialistinnen und Jungsozialisten in der SPD,Jusos,Ing+,Ing+,SDS,SDS,Ring Christlich-Demokratischer Studenten,RCDS
,"Das Solidaritätsprinzip bei der Finanzierung der <a href=""https://www.asta.tu-darmstadt.de/asta/de/angebote"" target=""_blank"">Angebote</a> der Studierendenschaft soll aufgehoben werden. 

Solidaritätsprinzip: Alle Studierende zahlen pro Semester den gleichen Beitrag, auch wenn die Stärke der Nutzung zwischen Studierenden variiert. Dadurch wird es ermöglicht, günstigere Konditionen mit den Anbietern auszuhandeln.",,,,,,,,,,,,
,"Es soll ein Kulturticket eingeführt werden, für welches eine Erhöhung der Semestergebühren um wenige Euro angemessen wäre. 

Ein Kulturticket soll es Studierenden erlauben, Museen, Theater und Ausstellungen im Kreis Darmstadt-Dieburg ohne zusätzliche Kosten oder mit Ermäßigung zu besuchen.",,,,,,,,,,,,
,"Gewerbliche Referate der Studierendenschaft, die über einen längeren Zeitraum defizitär arbeiten, sollen unabhängig ihres sonstigen Nutzens abgeschafft werden. 

Derzeitige gewerbliche Referate:603qm, Fahradwerkstatt, Papierladen, Schlosskeller, Schlossgarten",,,,,,,,,,,,
,"Die TU Darmstadt soll ein optionales Orientierungsstudium anbieten.

In den ersten ein bis zwei Semestern soll das Belegen von Modulen verschiedener Fachdisziplinen zur Orientierung dienen (Prinzip: <a href=""http://de.wikipedia.org/wiki/Studium_generale"" target=""_blank"">Studium Generale</a>).",,,,,,,,,,,,
,Das Studierendenwerk Darmstadt soll aus sozialen und/oder ökonomischen Gründen in Wohnheimen langfristig ausschließlich Zimmer in Wohngemeinschaften und keine Einzelzimmer anbieten.,,,,,,,,,,,,
,Die TU Darmstadt soll mehr Kopierer für Studierende zur Verfügung stellen.,,,,,,,,,,,,
,Zulassungsbeschränkungen zu Studiengängen sollen abgeschafft werden.,,,,,,,,,,,,
,Alle Studienplätze mit Zugangsbeschränkung sollen deutschlandweit zentral vergeben werden.,,,,,,,,,,,,
,"Die Zivilklausel an der TU Darmstadt soll wieder abgeschafft werden.

Mit der Zivilklausel verpflichtet sich die TU Darmstadt selbst, keine militärische Forschung und Lehre zu betreiben.",,,,,,,,,,,,
,Die Universität soll finanzielle Mittel in die Einrichtung von Ruhe- und Entspannungsräumen für Studierende investieren.,,,,,,,,,,,,
,Die TU Darmstadt soll jeder Hochschulgruppe nach Bedarf kostenfrei Räumlichkeiten zur Verfügung stellen.,,,,,,,,,,,,
,"Die Aufwandsentschädigungen für ehrenamtliche Referate im AStA soll abgeschafft werden. 

Gewählte und eingestelle Studierende des AStA erhalten nach der Finanzordnung der Studierendenschaft (mit Link) für ihr Engagement derzeit eine monatliche Aufwandsentschädigung.",,,,,,,,,,,,
,Lehramts- und Pädagogikstudiengänge an der TU Darmstadt sollen unter der Aufwendung zusätzlicher finanzieller Mittel erhalten bleiben.,,,,,,,,,,,,
,"Grundsätzlich sollen alle Materialen aus Lehre und Forschung der TU Darmstadt frei verfügbar sein. 

Frei bedeuted in diesem Zusammenhang, dass allen Menschen Zugang gewährt und die Nutzung nicht eingeschränkt wird.",,,,,,,,,,,,
