Kurze Frage,Lange Frage,FACHWERK,FW,Campusgrüne,CG,Jusos und Unabhängige,Jusos,Ing+,Ing+,Linke Liste – SDS,SDS
,"Call-a-Bike system should be abandoned again.

Currently, every student pays € 2.38 per semester for the nation-wide Call-a-Bike system. ","The cooperation of the student body with “Call-a-Bike” has initiated a prompt introduction of a “hire-a-bike-system” which will also be expanded further. It supports sustainable mobility even across the boundaries of Darmstadt because every student's free minutes can also be used in other cities.
Many thousands of students in Darmstadt already use the “hire-a-bike-system”. And not only in Darmstadt but  also in many other cities with “Call-a-Bike” ten thousands of rides are realized during one semester.
We actively stood up for the introduction of the “hire-a-bike-system” and until today we are convinced of its advantages for the students in Darmstadt. This is why we are against abandoning it.",-1,"
The call a bike system is a great alternative to motorised public transport and allows students flexible, ecological and cost-efficient mobility 24/7. The mobility of commuters increases/increased and everyone who wants to get home at night has a bike at her_his side. As it is possible to rent up to three bikes at one time, your friends are mobile as well when visiting you.#",-1,Das Fahrradverleihsystem ist eine tolle Sache und wird auch gut genutzt.,-1,"The Call-a-Bike system is well used among students and should remain in place, if not be expanded.",-1,Eco-friendly mobility that is accessible for everyone is social and ecologic. Especially in a small city like Darmstadt the bike is the ideal means of transport. However the students should be better informed about this possibility.,-1
,"Solidarity principle for financing the offers of the student body should be abolished. 

For example : All students pay the same amount of money as semester contribution, irrespective of their usage and necessity. Thereby, efforts can be made to avail cheaper conditions from the service providers. ","The solidarity principle is the basis of the offers by the student body, because much can be accomplished with low fees for an individual. There will always be people who cannot use the offers at their full extent but without the solidarity principle it would for example not be possible for financially weak students to use public transportation. Many offers can also only be as low priced when introducing them in a large extent.",-1,"
The community of students enables many offers, for example the Semesterticket. A Project like this wouldn't be possible without the principle of solidatrity. Public infrastructure is working only when everybody is doing one's bit.
This system is a big benefit for low bugdet students. With this principle of solidarity the comunity of students also finances a lawyer and a cooperation with the Staatstheater.

",-1,"Nur durch das Solidaritätsprinzip, welches beispielsweise auch bei den gesetzlichen Krankenkassen angewendet wird, können überhaupt ein RMV-Ticket, kostenloses Staatstheater und der Schlosskeller angeboten werden. Jede Erhöhung des Beitrags muss jedoch kritisch überprüft werden.",-1,"We believe that the system right now works really well. Since everybody (even those who don't use the offers) is paying a fixed amount, the prices for those actually needing them is greatly reduced.",-1,The principle of solidarity is important and without any alternative.,-1
,"A cultural ticket should be introduced for which a marginal increase in the semester fee by a few Euros would be alright.

A cultural ticket should make it possible for students to visit museums, theaters and exhibitions in the vicinity of Darmstadt and Dieburg without additional costs or at concessional prices.",The encouragement of the student's cultural interests is one of the important tasks of the student body. Aside of our own cultural offers we think it is important to enable an open access to other cultural offers. To get this open access to other cultural offers we support the introduction of a cultural ticket which is financed by the solidarity principle.,1,"
The co-operation with the Staatstheater Darmstadt is a big/huge success. We want to transfer this to other fields in/within the cultural area. The years of studying/Studies should be more than lectures and exams. Furthermore, museums and theatre are part of cultural education and can be supported by the student community.

In order to keep the semester fees low the cost-performance ratio has to be monitored critically prior to the introduction of further co-operations.",1,"Ein Kulturticket ermöglicht allen studierenden die Teilhabe an den kulturellen Einrichtungen der Stadt Darmstadt und ist daher nur zu begrüßen. Jedoch muss eine Erhöhung des Semesterbeitrags sehr genau überprüft werden. Eine Idee wäre, alle Studierenden der TU Darmstadt über die Einführung eines Kulturtickets abstimmen zu lassen.",1,We highly value a diverse cultural program. We do however believe that an increase of fees should be checked carefully for its purpose.,1,"Cultural life plays an important part in the development of the personality and needs to be accessible for people with little money. Therefore contracts should only be signed with institutions where an additional entrance fee is marginalised through a ""Kulturticket"". A principle of solidarity that is practiced in theaters and museums all over Germany where the working population finances the visit to the theater for the upper-class with barely being able to afford a ticket of their own, is unacceptable.",1
,"The commercial division of the student body , which has been working for a long time with deficit, should be abolished , irrespective of its objective and usage.

Current commercial endeavours of AStA – 603 qm, Fahradwerkstatt, Papierladen, Schlosskeller, Schlossgarten.","The main task of the commercial units is not to achieve maximal profit but to be able to provide diverse offers for the students. Especially cultural and political events like for example concerts, readings or interdisciplinary lectures are additional benefits for the students but they rarely gain profits.
<a href="http://www.fachwerkhouse.de/?portfolio=unileben" target="_blank">fachwerkhouse.de/?portfolio=unileben</a>",-1,"
The main reason for the existance of the commercial departments of the student community isn't the realisation of profits. Making profits is not a compulsory reason for their continuity. However economic feasability is important and we work on balanced budgets.",-1,"Gemeinnützige Organisation verfolgen keine wirtschaftlichen Gewinnziele, weshalb es nicht unüblich ist, dass diese in negativen Zahlen geraten. Natürlich sollte das immer vermieden werden, denn es geht um Gelder von Studierenden. Vor allem das 603qm hatte sehr lange defizitäre Zahlen, war jedoch unter Studierenden der beliebteste Veranstaltungsort in Darmstadt.",-1,"As long as commercial departments like those by the student body today are offering cultural diversity, a small financial deficit can and should be balanced by the student body.",-1,"Collegiate self-organised subculture and services are a vital part of a vivid city, in which also people with little money can take part. They are an alternative to purely commercial but lifeless offers. To make student life more versatile and cheaper, there should be more subsidisation of the commercial referates to to enable a self-determined congreagtion of all students - also the poorer ones.",-1
,"TU Darmstadt should offer an optional orientation study. 

In the first and second semester, choosing different modules of different specialisations should be helpful through orientation.",Orientation studies in which students get an insight into studies of different disciplines without pressure and enforcements help students to find the studies which are right for them. These orientation studies would also ease the change from school to university and they give a more realistic insight into future studies. Through this early cancellations of studies could be prevented and frustration could be avoided.,1,"
Generally, orientation studies are a good idea for people who don't know what they want to study exactly. However, we have precise demands for orientation studies. They should be voluntary and all modules have to be creditable for subsequent studies.",1,"Viele AbiturientInnen sind sich nicht sicher bei der Wahl ihres Studiums. Ein Orientierungsstudium wäre eine tolle Möglichkeit für alle StudienanfängerInnen, sich in der Hochschule erstmal umzusehen und zurechtzufinden.",1,Well executed generall studies are a great way to give new students the possibilty to find their passion. Regulations and organisation are even more important for these though.,1,"A good idea, which makes it possible, especially for yet undecided pupils to get an oversight. Not until someone is at an university and attends ""real"" classes, one can get an insight in academic studies, which enables an informed choice for a field of study. The pressure to finish your studies in the regular time, which is build up by parents, the public, the BAFöG and last but not least the university itself, should not be fully present at the begin of the studies. Furthermore it facilitates a orientation phase without pressure to perform, the possibility to improve ones general education, to get an oversight and doesn't put one under pressure to instantly become an expert in certain field. Prior to implementation there needs to be a discussion, how this should be implemented in a way, that earned achievements can still be taken into account, without setting the fresh students under the same pressure as in a normal bachelors degree.",1
,"On the long run, Studierendenwerk, on the basis of social and economic grounds, should only offer rooms in apartments rather than single rooms.","“Studierendenwerk” should mainly offer rooms in apartments because by this more affordable living place can be achieved. However, there should be offers of single rooms in an adequate number. When these single rooms are appointed to someone, applicants with (possible) special needs should be favoured.
<a href="http://www.fachwerkhouse.de/?portfolio=wohnraum" target="_blank">fachwerkhouse.de/?portfolio=wohnraum</a>",-1,"
It is very important to us that shared apartements are cheaper and more ecological than single rooms. As we think it is duty of the Studierendenwerk to support lower budget students, shared apatemnts are the better options (for new construction). ",1,"Manche Studierende sind auf Einzelzimmer angewiesen, z. B. Mütter und Väter mit ihrem Kind oder Menschen mit einer Beeinträchtigung.",0,"Each person is different, this should be respected and consequently a diverse offer is needed.",-1,"The way of living should not be solely determined by cost-benefit-calculations. A political decision in favor of shared apartments and against single apartments is an intrusion in private and personal rights. If such intrusions are justifiable, they need to be decided in abroad participative and democratic process and not within the AStA or the Studentenwerk. However during the expenditure of scarce public means the cost-benefit-relation should always be taken into account. We however think that single apartments (incl. bathroom) in shared floors, reach the needed economicals efficiency.",-1
,TU Darmstadt should offer more copying machines for the benefit of students.,Especially  at the library locations there is a basic need of  copiers to print exercises and texts. Outside of ULB we think the current supply is sufficient. ,0,"
To use less paper and work digitally is reasonable in ecological and economical aspects. Of course this isn't also possible as for a lot of work paper is necessary, which makes copier necessary also. Due to this is is impotant to us to create paper-free alternative when possible. ",0,-,0,There should definately be more copier for students to use. Additionally there should be more places to print documents.,1,In some parts of the university it is just impossible to print. More copiers on the campus would clearly faciliate everyday student life.,1
,Admission limitations to study programmes should be abolished.,"We stand for self-determined studies and this contains a free choice of your field of studies. Instead of keeping the number of students artificially low by having entrance limitations there should be enough financial means provided to be able to offer a free choice of studies and good conditions of teaching and learning at once.
<a href="http://www.fachwerkhouse.de/?portfolio=freie-bildung" target="_blank">fachwerkhouse.de/?portfolio=freie-bildung</a>",1,,1,"Wir wollen, dass jede/r Interessierte ein Fach seiner bzw. ihrer Wahl studieren kann. Auswahlgespräche, Zulassungstests und andere fragliche Auswahlverfahren entsprechen nicht unserer Vorstellung von Gerechtigkeit und Chancengleichheit. Wir fordern endlich ausreichend Studienplätze, damit sämtliche Auswahlverfahren und Zulassungshürden obsolet werden.",1,"Since the funding provided by the German state is not sufficent to provide the needed space and resources to study for unlimited amounts of students. Thusfar the best solution to choose is the ""Eignungsfeststellungsverfahren"" as used by FB 16.",-1,"Basically an admission limitation should not happen because every human has the right to study and his choice of study should not be limited because of administrative guidelines. If the study of the field of choice is limited because of capacity issues the students should be chosen by lot to guarantee equal chances. Evalutions by school grades, tests, etc. should be abolished as well. Evaluation before the begin of the studies as a whole are nonsense because the student is just at the start of his studies.",1
,All study programmes with admission limitations should be assigned Germany-wide through a central system.,"In general we disapprove of entrance limitations but as these still exist at the moment we think of a central placing for university places positively. This placing could contribute to calm down the fight between universities to attract the “best” applicants which would have a positive effect on the selection procedures of universities. This could reduce the efforts for applicants (e.g. less interviews, no artificially shortened deadlines). Furthermore the current system leads to the problem that not all available university places are assigned to future students.",1,"
In the long-run we do not vote for admission restriction (as NC) but within a university system with access restricted programs this (access to studies should be given not by every university but centralized over Germany) is a fair alternative. This eables equality of opportunity and prevents time-consuming multiple applictaion, not only for the students but for the university as well. 

This would also facilitate the process for universities: Multiple applications produce unnecessary bureaucratic and some courses are not even fully occupied as a result.
It might also reduce competition between universities as they do not need to recruit students.
This is of course only possible if the universities get enough financial means assigned, to reduce quality differences between them.",1,-,0,Ideally every student should be able to chose where he or she wants to study.,-1,With a central system intact the necessity to apply at numerous universitys in germany vanishes. Without the system it is possible that one gets a place at the prefered university only days before lecture starts because of some students declined the place last minute. Then there is no time to find a place to live or get used to the city. In a central system it is important that the applicant is able to name his preferences and that assignment is finished at least three months before the start of the semester. Following to the assignment it is important to have an official place where everyone can trade their place so that most people are satisfied.,1
,"Civilian clause at TU Darmstadt should be abolished again.

With civil clause, TU Darmstadt has committed itself not to pursue military research or take lectures in this field.",“Civil Clause” (the university obligates itself to do research only for civil purposes) was just recently introduced with strong participation of FACHWERK. Accordingly we are against its abolishment and we stand for a civil university whose research and teaching are oriented towards peaceful goals.,-1,"
The ""Zivilklausel"" (Civil Clause) of the TU Darmstadt was consensual worked on and is approved by the ""Universitätsversammlung"" and the senat.

But why do we need such a ""Zivilklausel""? We have the strong opinion, that the smart people of this university should concern themself with civil projects, trying to improve the world peacefully, rather than spend their time on military research. Such research belongs at the ""Bundeswehruniversitäten"" (military universities) and should be payed for with by the defense budget or directly by the arms industry.",-1,"Der Grund für die Klausel ist, dass Rüstungskonzerne und Militär wiederholt versuchten, sowohl in natur- und ingenieurwissenschaftlichen Studiengängen, als auch das geistes- und sozialwissenschaftliche Studium inhaltlichen Einfluss zu nehmen. Durch von Rüstungskonzernen finanzierte Stiftungsprofessuren oder gemeinsame militärische Forschungsprojekte kann die Universität leicht zum Unterstützer militärischer Forschung werden. Die Einwirkung des Militärs widerspricht vehement dem Selbstverständnis von Forschung und Lehre, die in erster Linie dem friedlichen Zusammenleben aller Völker dienen soll.",-1,"The Technische Universität Darmstadt is a civil funded institution, hence the outcome of all research should work towards non military means.",-1,"Civil universitys shouldn't be instrumentalised for military research. Balancing the disparities between education and defence budget by letting the defence industry pay for research is, in our eyes, completely wrong. Technical and societal progress in a peaceful and just society must be possible without the defence industry. However a civil clause is only useful when everyone complies with it and this compliance is monitored, because of that transparency and publicity of research is also important.",-1
,TU Darmstadt should invest in silent and relaxing rooms at the University for students.,"We do not see universities only as a place of education but we want to create a place where one likes to spend his*her time and in whose creation everyone can take place. The life at university aside of the consumption of knowledge in lecture halls must be encouraged and enabled.
<a href="http://www.fachwerkhouse.de/?portfolio=unileben" target="_blank">fachwerkhouse.de/?portfolio=unileben</a>",1,"
As the university is a livin environment but close and inexpensive living space is rare. The possibility to take a nap and relaxe during a long day at the uni is very important. This would also have positive effects in the concentration, time management and personal well-being. Therefore, relaxation rooms should be established. ",1,"Entspannungsräume sind in vielen Firmen schon Standard. Warum nicht auch an der TU? Allerdings würden wir auf Ruheräume verzichten, wenn die Regelstudienzeit uns nicht mehr so einen Stress machen würde.",1,Quiet rooms for relaxation should be established on our campus.,1,Silent and relaxing rooms help with better learning and build a counterpoint to the pressure of the normal everyday life at the university. The administration of the TU showed in the last years that it was clearly not able to cater to the real needs of the students by totally failing to make places like Karo5 a really comfortable location.,1
,"TU Darmstadt should provide free rooms to student groups , according to their necessities.",Campus groups are an integral part of a student's life aside the university's daily routine. To ensure campus groups can work properly it is required to grant them rooms and support.,1,"
We have to emphazise this again and again: To study is more than just learning.The involment of students in university groups should be suppourted by the university administration best possible. To fullfill this entitlement an adequate offer of rooms and associated with it an extension of the university group building are nessecary. We see it as important to give goups the right to administrate their roums by them self and locate them in the same building, to see the bigger picture.",1,Ehrenamtliches Engagement von Studierende sollte auf jeden Fall von der TU Darmstadt unterstützt werden.,1,Voluntary work by students shoulb be enabled by the university and free rooms should be provided.,1,"An own romm for 'Hochschulgruppen' offers the possibility to store material, organise meetings and faciliates establishing contacts with interested students because it offers a contact-point. To cope with scarce room situation at the TU, it should be possible that multiple groups share one room, because normally no group needs the room 7 days a week.",1
,"The compensation for the voluntary work done by various divisions of AStA should be abolished.

Elected and nominated students of AStA ,on the basis of financial regulations of the student body receive a monthly compensation.",The work of AStA is very time-consuming and it would not be possible in the current dimension without compensations. Therefore we support compensations which comply with the social needs of students to ensure that financially weak students can have the opportunity to get involved in AStA.,-1,"
You are spending the next semester somewhere else and you want the money of your ""Semesterticket"" back?
You repaired your bicycle in the workshop and some nice person helped you out?
Your an international student and they want to deport you?

For those problems and various more we have some people in the AStA. The elected part of the AStA does even more important stuff all year long, like managing the commercial part of the AStA. The concern themself with your problems and represent the students on multiple occasions in the university. Often they do such a good job, that they do not have time to attend a job besides their studies and the work in the AStA.

This is why we think it is fair to pay them a compensation. Otherwise such engagement would only possible for students with rich parents or who have a scholarship.",-1,"Im AStA gibt es viele sehr engagierte Studierende, die sich tagtäglich darum bemühen die Situation der Studierenden zu verbessern und Missstände aufzulösen. Vielen wird erst durch die finanzielle Entschädigung ermöglicht, sich überhaupt für die Studierendenschaft zu engagieren.",-1,"Again, voluntary work is very important. The students who form the AStA go above and beyond normal amounts of time spent. We value this highly and believe a financial compensation is in order.",-1,"The effort for time and work that people who make university-politicy on this level equals that of a full-time job and is very important for the interest representation of all students. Parallel to that they should have enough time left to study and shouldn't be forced to take a time consuming job beside their studies and the AStA-work to barely make a living, because studying and AStA-work would surely suffer.",-1
