Kurze Frage,Lange Frage,FACHWERK,FW,Campusgrüne,CG,Jusos und Unabhängige,Jusos,Ing+,Ing+,Linke Liste – SDS,SDS
,"Das Call-a-Bike System soll wieder abgeschafft werden. 

Derzeit zahlt jeder Studi 2,38 €/Semester für das deutschlandweite Call-a-Bike System. <a href=""https://www.asta.tu-darmstadt.de/asta/de/angebote/call-a-bike"" target=""_blank"">AStA Info zu Call-a-Bike</a>","Die Kooperation der Studierendenschaft mit Call-a-Bike hat für die zügige Einführung eines Leihfahrradsystems gesorgt, das auch noch weiter ausgebaut wird. So wird nachhaltige Mobiltität gefördert, sogar außerhalb Darmstadts, da die Freiminuten auch in vielen anderen Städten nutzbar sind.
Mehrere tausend Darmstädter Studierende nutzen das System bereits. Nicht nur in Darmstadt, sondern auch in anderen Städten mit Call-a-Bike System werden von Studierenden zehntausende Fahrten pro Semester gemacht.
Wir haben uns aktiv für die Einführung des Systems eingesetzt und sehen bis heute sehr viele Vorteile für die Studierenden. Dementsprechend sind wir gegen eine Abschaffung.",-1,"Das Call-a-Bike System ist eine gute Alternative zu Bus und Bahn und ermöglicht Studierenden flexible, ökologische und kostengünstige Mobilität rund um die Uhr. Per ÖPNV anreisende PendlerInnen sind inder Stadt mobiler und wer spät nachts noch heim will, hat nun immer ein Fahrrad zur Verfügung. Da das Ausleihen von bis zu drei Fahrrädern möglich ist, sind zudem auch FreundInnen von Studierenden während ihrer Zeit in Darmstadt mobil. 

Das Call-a-Bike System ist eine treibende Kraft für den Ausbau des Radwegenetzes in Darstadt.",-1,Das Fahrradverleihsystem ist eine tolle Sache und wird auch gut genutzt.,-1,Die Call-a-Bike-Fahrräder werden von den Studierenden gerne genutzt und haben sich als flexibles Fortbewegungsmittel bewährt. Der Service soll deshalb bestehen bleiben und nach Bedarf ausgeweitet werden,-1,"Umweltfreundliche Mobilität, die für alle erreichbar ist, ist sozial und ökologisch. Gerade in einer kleinen Stadt wie Darmstadt ist ein Fahrrad das ideale Verkehrsmittel. Über diese Möglichkeit sollten die Studierenden allerdings besser informiert werden.",-1
,"Das Solidaritätsprinzip bei der Finanzierung der <a href=""https://www.asta.tu-darmstadt.de/asta/de/angebote"" target=""_blank"">Angebote</a> der Studierendenschaft soll aufgehoben werden. 

Solidaritätsprinzip: Alle Studierende zahlen pro Semester den gleichen Beitrag, auch wenn die Stärke der Nutzung zwischen Studierenden variiert. Dadurch wird es ermöglicht, günstigere Konditionen mit den Anbietern auszuhandeln.","Das Solidaritätsprinzip ist die Grundlage der Angebote der Studierendenschaft, denn mit niedrigen Beiträgen für die Einzelnen lässt sich viel erreichen. Es ist klar, dass es immer Menschen gibt, die die Angebote nicht voll ausnutzen. Jedoch wäre es ohne das Solidaritätsmodell finanziell schwächeren Studierenden z.B. überhaupt nicht möglich, den Nahverkehr zu benutzen.
Darüber hinaus, ist es oft erst durch eine flächendeckende Einführung möglich, die Angebote zu besonderen und günstigen Konditionen anzubieten.",-1,"Viele Angebote der Studierendenschaft wie bspw. das Semesterticket wären ohne Solidarprinzip nicht annährend zu den selben Konditionen realisierbar. 
Öffentliche Infrastruktur funktioniert immer nur über solidarische Finanzierung und Abgaben, die alle tätigen. 

Vor allem die finanziell weniger priveligierten Studierenden profitieren von dem Modell. 
So dürfte es für die meisten Studierenden finanziell nicht möglich sein, sich beispielsweise einen Rechtsanwalt zur Beratung zu nehmen - auch hier hat die Studierendenschaft solidarisch finanzierte Angebote. Außerdem setzen solidarisch finanzierte Angebote im Kulturbereich (wie die Kooperation mit dem Staatstheater) Anreize zu deren Nutzung.


",-1,"Nur durch das Solidaritätsprinzip, welches beispielsweise auch bei den gesetzlichen Krankenkassen angewendet wird, können überhaupt ein RMV-Ticket, kostenloses Staatstheater und der Schlosskeller angeboten werden. Jede Erhöhung des Beitrags muss jedoch kritisch überprüft werden.",-1,"Die Finanzierung nach dem Solidaritätsprinzip ist alternativlos. Vergünstigungen im aktuellen Umfang sind anders nicht denkbar. Jeder Studierende hat die Möglichkeit, diese Angebote wahrzunehmen.",-1,Das Solidaritätsprinzip ist wichtig und alternativlos.,-1
,"Es soll ein Kulturticket eingeführt werden, für welches eine Erhöhung der Semestergebühren um wenige Euro angemessen wäre. 

Ein Kulturticket soll es Studierenden erlauben, Museen, Theater und Ausstellungen im Kreis Darmstadt-Dieburg ohne zusätzliche Kosten oder mit Ermäßigung zu besuchen.","Die Förderung der kulturellen Interessen der Studierenden gehört zu einer wichtigen Aufgabe der Studierendenschaft. Neben eigenen kulturellen Angeboten sehen wir es auch als wichtig an, Studierenden einen freien Zugang zu anderen Kulturangeboten zu ermöglichen.
Damit Studierende einen freien kulturellen Zugang erhalten, befürworten wir die Einführung eines solidarisch finanzierten Kulturtickets.",1,"Wir betrachten die Kooperation mit dem Staatstheater als großen Erfolg, den wir gerne auf weitere Kulturbereiche übertragen würden. Das Studium sollte zum einen aus mehr als nur auf Klausuren lernen bestehen, zum anderen sind Museen und Theater auch Teil von Bildung und können deshalb durchaus von der Studierendenschaft gefördert werden.   

Dabei haben wir vor einer etwaigen Einführung weiterer Kooperationen einen kritischen Blick auf deren Preisleistungsverhältnis, damit ein Solidaritätsbeitrag nicht zur großen Belastung für finanziell schwache Studierenden wird. ",1,"Ein Kulturticket ermöglicht allen studierenden die Teilhabe an den kulturellen Einrichtungen der Stadt Darmstadt und ist daher nur zu begrüßen. Jedoch muss eine Erhöhung des Semesterbeitrags sehr genau überprüft werden. Eine Idee wäre, alle Studierenden der TU Darmstadt über die Einführung eines Kulturtickets abstimmen zu lassen.",1,Ein breites Kulturangebot sehen wir als sehr sinnvoll an. Eine Erhöhung des Semestertickets ist allerdings immer kritisch zu prüfen und der Nutzen muss auch für die breite Studierendenschaft den Preis rechtfertigen.,1,"Kulturelles Leben ist ein wichtiger Bestandteil zur Entfaltung der Persönlichkeit und darf für Menschen mit wenig Geld nicht unzugänglich sein. Deshalb sollten entsprechende Verträge auch nur mit Institutionen geschlossen werden, bei denen die zusätzlich zu erhebenden Eintrittsgelder dadurch marginal werden. Ein Solidaritätsprinzip wie es bundesweit bei Theatern und Museen praktiziert wird, in dem die lohnarbeitende Bevölkerung den Theaterbesuch der Oberschicht subventioniert, sich selbst aber kaum eine Karte leisten kann, ist inakzeptabel.",1
,"Gewerbliche Referate der Studierendenschaft, die über einen längeren Zeitraum defizitär arbeiten, sollen unabhängig ihres sonstigen Nutzens abgeschafft werden. 

Derzeitige gewerbliche Referate:603qm, Fahradwerkstatt, Papierladen, Schlosskeller, Schlossgarten","Die Hauptaufgabe der gewerblichen Referate liegt unserer Meinung nicht darin, (maximale) Gewinne zu erwirtschaften, sondern darin, den Studierenden ein vielfältiges Angebot zu bieten.
Gerade kulturelle und politische Veranstaltungen wie z.B. Konzerte, Lesungen oder Ringvorlesungen bieten einen großen Mehrwert für die Studierenden, erwirtschaften jedoch selten Gewinne.<a href=“http://www.fachwerkhouse.de/?portfolio=unileben“ target=“_blank“>fachwerkhouse.de/?portfolio=unileben</a>",-1,"Die gewerblichen Referate der Studierendenschaft dienen nicht primär der finanziellen Gewinnerzielung. Sollten sie die Kasse der Studierendenschaft aufbessern, umso besser, aber dies ist für uns keine zwingende Bedinung für deren Fortbestand. Vielmehr wägen wir den Nutzen der einzelnen Referate mit den Kosten für den Ausgleich deren etwaigen Defizite ab. 

Dennoch arbeiten wir an der Wirtschaftlichkeit der Gewerbe und bemühen uns um ausgeglichene Haushalte auf der Grundlage solider Planung, denn es ist trotzdem das Geld der Studierenden, mit dem die Gewerbe arbeiten, und bei Studierenden sitzt das Geld bekanntlich knapp. ",-1,"Gemeinnützige Organisation verfolgen keine wirtschaftlichen Gewinnziele, weshalb es nicht unüblich ist, dass diese in negativen Zahlen geraten. Natürlich sollte das immer vermieden werden, denn es geht um Gelder von Studierenden. Vor allem das 603qm hatte sehr lange defizitäre Zahlen, war jedoch unter Studierenden der beliebteste Veranstaltungsort in Darmstadt.",-1,"Solange ein gewerbliches Referat einen Mehrwert für die Studierendenschaft darstellt, ist auch ein defizärer Betrieb gerechtfertig. Der kulturelle Mehrwert muss allerdings auch hier im Verhältnis zu den entstehenden Kosten für die Studierendenschaft stehen.",-1,"Studentische selbstverwaltete Subkultur und Serviceeinrichtungen sind ein wichtiger Bestandteil einer lebendigen Stadt, in der auch Menschen mit wenig Geld am Leben teilhaben können. Sie bilden eine Alternative zu rein kommerziellen aber  leblosen Angeboten. Um das studentische Leben vielfältiger und auch günstiger zu gestalten, sollten die gewerblichen Referate vielmehr gefördert werden, um ein selbstbestimmtes Zusammenkommen aller Studierenden - auch der ärmeren - zu ermöglichen. Eintrittsgelder sollten daher nicht erhoben werden. Der Verzehr mitgebrachter Speisen und Getränke sollte erlaubt und nicht verboten sein. Fixkosten sollten aus dem allgemeinen Budget des AStA bestritten werden. Nur die laufenden Kosten sollten durch den Verkauf von Speisen und Getränken gedeckt werden. Rücklagen und Gewinne sind nicht anzustreben. Die Gewerbe sollten in Form von Genossenschaften von der gesamten Studierendenschaft betrieben werden.",-1
,"Die TU Darmstadt soll ein optionales Orientierungsstudium anbieten.

In den ersten ein bis zwei Semestern soll das Belegen von Modulen verschiedener Fachdisziplinen zur Orientierung dienen (Prinzip: <a href=""http://de.wikipedia.org/wiki/Studium_generale"" target=""_blank"">Studium Generale</a>).","Ein Orientierungsstudium, in welchem Studierende die Möglichkeit haben ohne Zwänge und Druck einen Einblick in das Studium verschiedener Disziplinen zu erhalten, hilft bei der Orientierung und der Wahl eines für sie passenden Studienfachs. Es erleichtert außerdem den Übergang von der Schule zur Universtität und gibt einen realistischeren Einblick in den zukünftigen Studiengang. Hierdurch lässt sich unter Umständen einem frühen Studienabbruch vorbeugen und Frustration vermeiden.",1,"Prinzipiell finden wir die Idee eines Orientierungsstudiums sehr charmant, da viele Schulabsolvent*innen, nicht erst seit der Einführung von G8, sich über ihre Studienwünsche noch nicht abschließend im klaren sind. Was einen wirklich erwartet merkt man ohnehin häufig nur nach Beginn des Studiums. 

Wir haben jedoch auch klare Anforderungen an ein Orientierungsstudium; Dieses sollte frewilig bzw. optional sein, und alle darin absolvierten Module sollen für anschließende Studiengänge anrechenbar sein. 

",1,"Viele AbiturientInnen sind sich nicht sicher bei der Wahl ihres Studiums. Ein Orientierungsstudium wäre eine tolle Möglichkeit für alle StudienanfängerInnen, sich in der Hochschule erstmal umzusehen und zurechtzufinden.",1,"Ein optionales Orientierungsstudium ist eine effektive Möglichkeit zur Horizonterweiterung. Zudem ermöglicht es Abiturienten,  vor der Studiengangwahl eine Orientierung zu erlangen. Nötig ist jedoch eine gute Organisation des Angebots und eine angemessene Kontrolle.",1,"Eine gute Idee, die gerade unentschlossenen Schüler*innen die Möglichkeit gibt einen Überblick zu gewinnen. Erst an der Universität und durch den Besuch 'echter' Lehrveranstaltungen kann ein Einblick in die universitäre Lehre gewonnen werden, der eine informierte Studienfachwahl ermöglicht. Der Druck, der durch Eltern, Öffentlichkeit, BAföG und nicht zuletzt die Universität selbst aufgebaut wird, innerhalb der Regelstudienzeit einen Abschluss zu erwerben, sollte nicht bereits zu Beginn des Studiums voll durchschlagen. Außerdem bietet sich in einer vom Leistungsdruck entlasteten Studieneingangsphase die Möglichkeit sich allgemein zu bilden, sich einen Überblick zu verschaffen und nicht sofort zum Experten in einem bestimmten Gebiet ausgebildet zu werden. Vor Verwirklichung muss natürlich noch diskutiert werden, wie das ganze umgesetzt wird, so dass erbrachte Leistungen trotzdem gewertet werden können, ohne dass die Studienanfängerin oder der Studienanfänger sofort in den Leitsungsdruck des normalen Bachelors gerät.",1
,Das Studierendenwerk Darmstadt soll aus sozialen und/oder ökonomischen Gründen in Wohnheimen langfristig ausschließlich Zimmer in Wohngemeinschaften und keine Einzelzimmer anbieten.,"Das Studierendenwerk sollte hauptsächlich Plätze in Wohngemeinschaften anbieten, denn so kann mehr günstiger Wohnraum geschaffen werden. Trotzdem müssen weiterhin auch Einzelappartements in angemessener Anzahl angeboten werden. Bei deren Vergabe sollten jedoch Bewerber*innen mit (etwaigen) speziellen Bedürfnissen bevorzugt werden.
<a href=“http://www.fachwerkhouse.de/?portfolio=wohnraum“ target=“_blank“>fachwerkhouse.de/?portfolio=wohnraum</a>",-1,"Für uns ist besonders wichtig, dass WGs günstiger und ökologischer sind als Einzelzimmer. Da es unserer Ansicht nach die Aufgabe des Studierendenwerks ist, insbesondere für finanziell schwache Studierende Wohnraum anzubieten, ist der Bau von WGs angemessener. 

",1,"Manche Studierende sind auf Einzelzimmer angewiesen, z. B. Mütter und Väter mit ihrem Kind oder Menschen mit einer Beeinträchtigung.",0,Der heterogenen Studierendenschaft sollte ein breites Angebot an günstigem Wohnraum durch das Studierendenwerk Darmstadt bereitgestellt werden. Menschen gegen ihre persönlichen Neigungen in Wohngemeinschaften zu zwängen ist nicht mit dem selbstbestimmten Leben eines Studierenden zu vereinbaren.,-1,"Nein. Die Lebensform sollte nicht ausschließlich nach Kosten-Nutzen-Rechnungen festgelegt werden und eine politische Entscheidung für Wohngemeinschaften und gegen Einzelzimmer ist ein Eingriff in die privaten Persönlichkeitsrechte. Wenn solche Eingriffe gerechtfertigt sein sollen, müssen sie in einem breiten, partizipativen demokratischen Prozess entschieden werden und nicht innerhalb des AStA oder des Studentenwerks. Allerdings muss bei der Aufwendung knapper öffentlicher Mittel immer auch das Kosten-Nutzen-Verhältnis mitbedacht werden. Wir sind allerdings der Meinung, dass auch Einzelzimmer (mit Bad) in Flurgemeinschaften, die nötige ökonomische Effizienz erreichen können. ",-1
,Die TU Darmstadt soll mehr Kopierer für Studierende zur Verfügung stellen.,"Besonders an den Bibliotheksstandorten wird ein Grundbedarf an Kopierern benötigt, um Texte und Aufgaben auszudrucken. Außerhalb der ULB sehen wir die Ausstattung aktuell als ausreichend an.",0,"Weniger Papier zu nutzen und besser digital zu arbeiten macht aus ökologischen und ökonomischen Aspekten Sinn. Jedoch ist das im Studium natürlich nicht immer realisierbar und in vielen Arbeiten ist man auf Papier angewiesen. Dafür müssen auch aussreichend Kopierer (Multifunktionsgeräte) zu Verfügung stehen. Die Druckkosten verleiten Studierende ohnehin nur das zu drucken, was wirklich nötig ist. Deshalb wäre es aus unserer Sicht sinnvoll, wo möglich papierlose Alternativen zu schaffen und eine Zettelwirtschaft zu vermeiden. 

",0,-,0,In der Nähe größerer Lernräume soll es ausreichend viele Kopierer geben. Ein Ausbau des Angebots Unterlagen zusätzlich auch aus dem Internet auszudrucken ist anzustreben.,1,In einigen Teilen der Universität ist es schlicht unmöglich etwas zu drucken. Mehr Kopierer auf dem Campus würden den Studienalltag deutlich erleichtern.,1
,Zulassungsbeschränkungen zu Studiengängen sollen abgeschafft werden.,"Wir stehen für ein selbstbestimmtes Studium und dazu gehört auch die freie Wahl des Studienfaches. Statt durch Zulassungsbeschränkungen die Studierendenzahlen künstlich klein zu halten, müssen ausreichende finanzielle Mittel zur Verfügung gestellt werden, um eine freie Studienwahl bei gleichzeitig guten Lehr- und Lernbedingungen zu ermöglichen.
<a href=“http://www.fachwerkhouse.de/?portfolio=freie-bildung“ target=“_blank“>fachwerkhouse.de/?portfolio=freie-bildung</a>",1,,1,"Wir wollen, dass jede/r Interessierte ein Fach seiner bzw. ihrer Wahl studieren kann. Auswahlgespräche, Zulassungstests und andere fragliche Auswahlverfahren entsprechen nicht unserer Vorstellung von Gerechtigkeit und Chancengleichheit. Wir fordern endlich ausreichend Studienplätze, damit sämtliche Auswahlverfahren und Zulassungshürden obsolet werden.",1,Aufgrund der nicht ausreichenden Grundfinanzierung durch den Bund und das Land Hessen kann die Universität leider nicht jedem Bewerber seinen Wunschstudienplatz anbieten. Das mit Abstand sinnvollste Instrument der Beschränkung ist unserer Meinung nach hier ein Eignungsfeststellungsverfahren wie z.B. im FB 16.,-1,"Grundsätzlich sollte eine Zulassungsbeschränkung nicht stattfinden, da jeder Mensch das Recht zu studieren haben sollte und in dieser Wahl nicht durch verwaltungstechnische Vorgaben eingeschränkt sein sollte. Wenn ein ordentliches Studium aufgrund der Kapazitäten an einem bestimmten Institut/Fachbereich nur für eine bestimmte Anzahl Studierender gewährleistet werden kann, sollte auf das Losverfahren zurückgegriffen werden, da nur hier Chancengleichheit gewährleistet werden und willkürliche Bewertungen wie Schulnoten eliminiert werden können. Inhaltliche Tests, künstlerische Beurteilungen, Assessmentcenter beziehungsweise so genannte Eignungsfestellungsverfahren sind grundsätzlich abzulehnen, da hier tendenziell die Professoren zur Reproduktion ihres eigenen Milieus beitragen. Außerdem ist eine Überprüfung der Geeignetheit für ein bestimmtes Studienfach noch vor dem Studium, welches ja erst den Beginn der Aneignung der fachlichen Inhalte darstellt, Unsinn. Dass Legastheniker nicht Deutsch auf Lehramt studieren, dass Menschen mit Rechenschwäche nicht Physiker, Ingenieur und so weiter zu werden versuchen und dass unkreative Menschen nicht Künstler werden wollen, muss nicht verordnet werden, sondern wird sich in der Regel durch die persönliche Vernunft der Bewerber von selbst regulieren. Sollten dabei hin und wieder Menschen ihre Talente und Potentiale falsch einschätzen, sollten wir mit diesem Risiko der Freiheit einfach leben können.",1
,Alle Studienplätze mit Zugangsbeschränkung sollen deutschlandweit zentral vergeben werden.,"Grundsätzlich lehnen wir Zugangsbeschränkung ab. Da diese aktuell aber noch Realität sind, bevorzugen wir eine zentrale Vergabe von Studienplätzen, um den Kampf der Universitäten um die ""besten"" Bewerber*innen einzuschränken, weil dies für die Bewerber*innen einen erhöhten Aufwand durch Bewerbungsgespräche und künstlich verkürzte Fristen bedeutet. Zudem führt das aktuelle System dazu, dass nicht immer alle verfügbaren Plätze besetzt werden. ",1,"Wir sind langfristig gegen Zulassungsbeschränkungen aber in einem Hochschulsystem mit zugangsbeschränkten Studiengängen ist dies die fairste Alternative. So besteht für alle Studierenden Chancengleichheit und zeitaufwendige Mehrfachbewerberbungen und Bewerbungsgespräche, die mit Anreise und Kosten verbunden sind, sind nicht mehr nötig. Eine Priorisierung durch die Studierenden sowie Ausnahmen (Kinder, Pflege von Familienangehörigen etc.) müssten selbstverständlich Teil des Systems sein.

Auch für die Unviersitäten wäre dies eine Erleichterung. Mehrfachbewerbungen und Nachrückverfahren verursachen unnötige Bürokratie, Studiengänge werden überbucht bzw. sind nicht ausgelastet. Zudem würde der Konkurenzkampf unter den Hochschulen um Studierende eingedämmt. Dem gegenüber müsste aber auch eine gerechte Ausfinanzierung aller Hochschulen stehen, um keine großen Qualitätsunterschiede zu haben. 


",1,-,0,"Wir sehen die zentrale Studienplatzvergabe nicht als sinnvoll an, weil auch lokale standortbezogene Gründe für oder gegen eine Hochschulwahl sprechen können. Hochschulen können bei einer dezentralen Platzvergabe individuelle Zulassungs- und Eignungsverfahren durchführen. ",-1,"Mit einer zentralen Studienplatzvergabe fällt der Zwang weg, sich an etlichen Universitäten in Deutschland zu bewerben, in der Hoffnung irgendwo doch genommen zu werden. Dabei kann es dazu kommen, dass man erst wenige Tage vor Vorlesungsbeginn doch noch durch ein Nachrückverfahren an einen Platz an der Wunschuni kommt. Dann gibt es keine Zeit mehr für Wohnungssuche und Einleben in der neuen Stadt. Wichtig bei einer zentralen Vergabe ist es allerdings, dass Präferenzen angegeben werden können und, dass die Platzvergabe mindestens drei Monate vor Beginn des Semesters abgeschlossen ist. Im Anschluss an die Vergabe sollte eine offizielle Tauschbörse gestartet werden. Dadurch können Bewerber, denen ihre Zuordnung nicht gefällt schnell, unkompliziert und mit rechtlicher Sicherheit ihre Zulassungen tauschen, bis möglichst viele zufrieden sind.",1
,"Die Zivilklausel an der TU Darmstadt soll wieder abgeschafft werden.

Mit der Zivilklausel verpflichtet sich die TU Darmstadt selbst, keine militärische Forschung und Lehre zu betreiben.","Die Zivilklausel wurde erst kürzlich unter maßgeblicher Beteiligung von FACHWERK eingeführt. Dementsprechend sind wir gegen eine Abschaffung und setzen uns für eine zivile Universität ein, deren Forschung und Lehre auf friedliche Ziele ausgerichtet sind.",-1,"Die Zivilklausel wurde an der TU Darmstadt gemeinsam erarbeitet und einstimmig in der Universitätsversammlung um dem Senat beschlossen.

Warum überhaupt eine Zivilklausel? Wir sind der Meinung, dass die kreativen Köpfe der TU Darmstadt sich besser mit zivilen Projekten befassen und versuchen die Welt friedlich weiter zuentwickeln. Militärische Forschungs, so sie den nötig sein sollte, gehört an Bundeswehruniversitäten und vom Verteidigungshaushalt bezahlt, oder direkt von der Rüstungsindustrie selbst erforscht - ohne die Bindung von Mitteln und Kreativität öffentlicher Hochschulen!

",-1,"Der Grund für die Klausel ist, dass Rüstungskonzerne und Militär wiederholt versuchten, sowohl in natur- und ingenieurwissenschaftlichen Studiengängen, als auch das geistes- und sozialwissenschaftliche Studium inhaltlichen Einfluss zu nehmen. Durch von Rüstungskonzernen finanzierte Stiftungsprofessuren oder gemeinsame militärische Forschungsprojekte kann die Universität leicht zum Unterstützer militärischer Forschung werden. Die Einwirkung des Militärs widerspricht vehement dem Selbstverständnis von Forschung und Lehre, die in erster Linie dem friedlichen Zusammenleben aller Völker dienen soll.",-1,Die Technische Universität Darmstadt ist eine zivile Institution und die Umsetzung der Zivilklausel sehr gelungen.,-1,"Zivile Universitäten sollten sich nicht für Rüstungsforschung instrumentalisieren lassen. Das Ungelichgewicht zwischen Bildungs- und Rüstungsetat dadurch auszugleichen, dass man versucht sich die Forschung von der Rüstungsindustrie bezahlen zu lassen, halten wir für vollkommen falsch. Technischer und gesellschaftlicher Fortschritt müssen in einer friedlichen und gerechten Gesellschaft ohne Rüstungsindustrie möglich sein. Allerdings nutzt eine Zivilklausel nur dann etwas, wenn sie eingehalten wird und ihre Einhaltung kontrolliert wird, deshalb ist auch Transparenz und Öffentlichkeit der Forschung wichtig.",-1
,Die Universität soll finanzielle Mittel in die Einrichtung von Ruhe- und Entspannungsräumen für Studierende investieren.,"Wir sehen die Hochschule nicht nur als Ort der (Aus)Bildung, sondern möchten einen Ort schaffen, an dem man sich gerne aufhält und den man aktiv mitgestalten kann. Universitäres Leben außerhalb vom Wissenskonsum in Hörsälen muss gefördert und ermöglicht werden.
<a href=“http://www.fachwerkhouse.de/?portfolio=unileben“ target=“_blank“>fachwerkhouse.de/?portfolio=unileben</a>",1,"Universität ist Lebensraum. Bezahlbarer Wohnraum in Nähe zur Uni hingegen knapp und der Unitag manchmal ziemlich lang. Die Möglichkeit sich für ein kurzes Schläfchen mal hinzulegen würde dem Zeitmanagement, der Konzentration und dem persönlichen Wohlbefinden zuträglich sein. Das Bachelor/Master System ist anstrengend genug, der Lernstess hoch genug um sich auch mal eine Pause zu gönnen. 


",1,"Entspannungsräume sind in vielen Firmen schon Standard. Warum nicht auch an der TU? Allerdings würden wir auf Ruheräume verzichten, wenn die Regelstudienzeit uns nicht mehr so einen Stress machen würde.",1,Ruhe- und Entspannungsräume für Studierende sind Elementar und fehlen an der TU Darmstadt.,1,"In den letzten Jahren ist die Zahl der Studierenden stetig gewachsen. Nicht nur die Ausstattung mit Lehrstühlen und Lehrpersonal hinkt dieser Entwicklung erheblich hinterher, sondern besonders die Arbeitsplätze und die Möglichkeiten sich entspannt oder auch in geselliger Runde auf dem Campus aufzuhalten, sind im Verhältnis zum Bedarf schon lange nicht mehr in ausreichender Form gegeben. Die neue ULB in der Stadtmitte hat zuwenige Schließfächer, zu wenige Arbeitsplätze und das Bistro kann die Menge der Kunden zwar vielleicht noch bedienen und abfertigen, eine Atmosphäre der Entspannung und der Erholung für die Pausen beim Lernen und Arbeiten kann hier jedoch nicht geboten werden. Die Nutzergruppe der Studierenden wird, so scheint es, in den Projektplanungsphasen systematisch übersehen und kleingerechnet, so dass der Aufenthalt an der Universität sich für viele auf den Besuch der Lehrveranstaltungen beschränkt. Das müsste nicht so sein. Wir fordern daher größere Räume für Fachschaften, mehr selbstverwaltete Lernzentren, mehr Ecken und Nischen mit Sitzgelegenheiten und in Zukunft ein besseres Miteinbeziehen der Interessen einer Studierendenschaft, für die die Uni immer auch Teil ihres Lebensraums und bestenfalls auch ein Ort an dem man seine Freizeit verbringen kann und will ist. Symptomatisch für die merkwürdigen Prioritäten in den zuständigen Planungsstäben ist z.B. das Karo5. Dort wurde entschieden aufgrund der Umweltfreundlichkeit auf eine Klimaanlage bzw. eine aktive Belüftung zu verzichten - die Folge: stickige Luft im ersten Stock, in dem sonst bis zu 50 Menschen bequem arbeiten könnten. Dort wurde auch entschieden aus Design und corporative identity Gründen, grüne Sitzbänke ohne Rückenlehnen zu verbauen - die Folge: unbequeme und hässliche Sitzgelegenheiten. Ein klares Beispiel für eine Gebäudeplanung, in der der Aspekt des studentischen Nutzers so gut wie ausgeblendet wurde.",1
,Die TU Darmstadt soll jeder Hochschulgruppe nach Bedarf kostenfrei Räumlichkeiten zur Verfügung stellen.,"Hochschulgruppen sind ein integraler Bestandteil studentischen Lebens abseits des Unialltags. Damit sie angemessen arbeiten können, ist es notwendig, dass sie entsprechende Räumlichkeiten und Unterstützung erhalten. ",1,"Wir können es nur immer wieder betonen: Das Studium sollte mehr sein als nur lernen. Das Engagment von Studierenden in Hochschulgruppen sollte von der Universität bestmöglich gefördert werden. Ein entsprechendes Raumangebot und damit eine Erweiterung des Hochschulgruppenhauses sind nötig um diesem Anspruch gerecht zu werden. Wir finden es auch wichtig, dass die Gruppen ihre Räume selbst verwalten und zusammen in einem Gebäude untergebracht sind, um auch mal über den eigenen Tellerrand zu schauen. 

",1,Ehrenamtliches Engagement von Studierende sollte auf jeden Fall von der TU Darmstadt unterstützt werden.,1,Ehrenamtliche Arbeit von Studenten sollte von der Universität unterstützt werden und kostenlose Räume bereitgestellt werden.,1,"Ein eigener Raum für Hochschulgruppen bietet die Möglichkeit Material zu lagern, Treffen zu organisieren und erleichtert die Kontaktaufnahme mit interessierten Studenten, da man einen Anlaufpunkt bietet. Um der knappen Raumsituation an der TU gerecht zu werden, sollte es möglich sein, dass sich mehrere Gruppen einen Raum teilen, da eine Gruppe den Raum in der Regel nicht 7 Tage in der Woche benötigt.",1
